,Instrument,Price Close
1988-02-12,.SPXTR,258.87
1988-03-31,.SPXTR,261.15
1988-05-27,.SPXTR,257.401
1988-07-01,.SPXTR,276.856
1988-09-02,.SPXTR,271.188
1988-11-23,.SPXTR,278.093
1988-12-23,.SPXTR,288.17
1988-12-30,.SPXTR,288.116
1989-02-17,.SPXTR,309.492
1989-03-23,.SPXTR,302.123
1989-05-26,.SPXTR,338.74
1989-07-03,.SPXTR,337.191
1989-09-01,.SPXTR,375.777
1989-11-22,.SPXTR,365.871
1989-12-22,.SPXTR,372.807
1989-12-29,.SPXTR,379.409
1990-02-16,.SPXTR,358.9874
1990-04-12,.SPXTR,373.1421
1990-05-25,.SPXTR,386.3746
1990-07-03,.SPXTR,393.6549
1990-08-31,.SPXTR,354.6475
1990-11-21,.SPXTR,350.5239
1990-12-24,.SPXTR,367.1255
1990-12-31,.SPXTR,367.6313
1991-02-15,.SPXTR,412.843
1991-03-28,.SPXTR,421.0325
1991-05-24,.SPXTR,426.0641
1991-07-03,.SPXTR,422.7102
1991-08-30,.SPXTR,450.0617
1991-11-27,.SPXTR,431.9014
1991-12-24,.SPXTR,459.0598
1991-12-31,.SPXTR,479.6332
1992-02-14,.SPXTR,476.1781
1992-04-16,.SPXTR,482.2474
1992-05-22,.SPXTR,481.857
1992-07-02,.SPXTR,480.6617
1992-09-04,.SPXTR,489.534
1992-11-25,.SPXTR,507.2618
1992-12-24,.SPXTR,520.8867
1992-12-31,.SPXTR,516.1779
1993-02-12,.SPXTR,528.5225
1993-04-08,.SPXTR,527.348
1993-05-28,.SPXTR,539.7605
1993-07-02,.SPXTR,536.0122
1993-09-03,.SPXTR,557.1728
1993-11-24,.SPXTR,561.9371
1993-12-23,.SPXTR,568.8655
1994-02-18,.SPXTR,571.8738
1994-03-31,.SPXTR,546.654
1994-04-26,.SPXTR,554.8341
1994-05-27,.SPXTR,563.7612
1994-07-01,.SPXTR,551.4657
1994-09-02,.SPXTR,584.9127
1994-11-23,.SPXTR,562.2287
1994-12-23,.SPXTR,576.2088
1994-12-30,.SPXTR,575.7049
1995-02-17,.SPXTR,606.4124
1995-04-13,.SPXTR,643.069
1995-05-26,.SPXTR,663.9507
1995-07-03,.SPXTR,695.079
1995-09-01,.SPXTR,719.3374
1995-11-22,.SPXTR,767.6553
1995-12-22,.SPXTR,786.4658
1995-12-29,.SPXTR,792.0419
1996-02-16,.SPXTR,835.7007
1996-04-04,.SPXTR,848.2051
1996-05-24,.SPXTR,880.4622
1996-07-03,.SPXTR,874.6295
1996-08-30,.SPXTR,851.064
1996-11-27,.SPXTR,990.8939
1996-12-24,.SPXTR,986.8646
1996-12-31,.SPXTR,973.8967
1997-02-14,.SPXTR,1065.3117
1997-03-27,.SPXTR,1022.1386
1997-05-23,.SPXTR,1122.1592
1997-07-03,.SPXTR,1217.1132
1997-08-29,.SPXTR,1197.007
1997-11-26,.SPXTR,1271.8338
1997-12-24,.SPXTR,1247.7502
1997-12-31,.SPXTR,1298.8214
1998-01-16,.SPXTR,1287.5329
1998-02-13,.SPXTR,1367.7648
1998-04-09,.SPXTR,1492.6786
1998-05-22,.SPXTR,1495.1908
1998-07-02,.SPXTR,1545.8871
1998-09-04,.SPXTR,1316.8127
1998-11-25,.SPXTR,1610.2768
1998-12-24,.SPXTR,1665.4485
1998-12-31,.SPXTR,1670.0056
1999-01-15,.SPXTR,1689.8182
1999-02-12,.SPXTR,1673.7723
1999-04-01,.SPXTR,1763.3126
1999-05-28,.SPXTR,1778.1028
1999-07-02,.SPXTR,1902.1773
1999-09-03,.SPXTR,1860.1499
1999-11-24,.SPXTR,1947.2108
1999-12-23,.SPXTR,2006.074
2000-01-14,.SPXTR,2016.6433
2000-02-18,.SPXTR,1854.8512
2000-04-20,.SPXTR,1980.3578
2000-05-26,.SPXTR,1904.9816
2000-07-03,.SPXTR,2033.5766
2000-09-01,.SPXTR,2108.7558
2000-11-22,.SPXTR,1837.9967
2000-12-22,.SPXTR,1816.9965
2000-12-29,.SPXTR,1837.3647
2001-01-12,.SPXTR,1835.5346
